﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08HD011,1,1,1973,01,,,,,,,,,,,,,,,5.49,,,,1.56,,,,,
08HD011,1,1,1973,02,,,,,,,,,,,,,10.2,,,,,,,,9.57,,,
08HD011,1,1,1973,03,,,,,,,,,,,,,,,5.04,,1.46,,1.42,,,,,
08HD011,1,1,1973,04,,,,,,,,,,,,,11.6,,,,,,,,,,,
08HD011,1,1,1973,05,,,,,,,,,,,,,,,,,1.42,,1.33,,6.74,,8.27,
08HD011,1,1,1973,06,,,,,,,,,,,,,10.5,,4.50,,,,,,,,,
08HD011,1,1,1973,07,,,,,,,,,,,,,,,4.42,,1.42,,,,5.66,,36.0,
08HD011,1,1,1973,08,,,,,,,,,,,,,,,4.16,,,,1.33,,,,,
08HD011,1,1,1973,09,,,,,,,,,,,,,10.3,,,,,,,,4.84,,,
08HD011,1,1,1973,10,,,,,,,,,,,,,,,3.68,,1.46,,0.991,,,,13.2,
08HD011,1,1,1973,11,,,,,,,,,,,,,10.0,,,,,,,,,,,
08HD011,1,1,1973,12,,,,,,,,,,,,,,,,,1.42,,1.51,,35.7,,58.0,
08HD011,1,1,1973,13,,,,,,,,,,,,,10.2,,3.20,,1.46,,,,,,,
08HD011,1,1,1973,14,,,,,,,,,,,,,,,,,1.33,,,,14.7,,19.1,
08HD011,1,1,1973,15,,,,,,,,,,,,,,,2.97,,,,3.11,,,,,
08HD011,1,1,1973,16,,,,,,,,,,,,,12.2,,,,,,2.11,,12.2,,,
08HD011,1,1,1973,17,,,,,,,,,,,,,,,2.92,,1.20,,1.90,,,,44.7,
08HD011,1,1,1973,18,,,,,,,,,,,,,10.2,,,,,,,,,,,
08HD011,1,1,1973,19,,,,,,,,,,,,,,,,,1.25,,31.7,,6.74,,17.4,
08HD011,1,1,1973,20,,,,,,,,,,,,,9.12,,2.44,,,,,,,,,
08HD011,1,1,1973,21,,,,,,,,,,,,,,,,,1.95,,,,6.85,,41.9,
08HD011,1,1,1973,22,,,,,,,,,,,,,,,2.17,,,,12.9,,5.97,,,
08HD011,1,1,1973,23,,,,,,,,,,,,,7.45,,,,,,,,,,,
08HD011,1,1,1973,24,,,,,,,,,,,,,,,1.90,,1.66,,14.7,,,,16.5,
08HD011,1,1,1973,25,,,,,,,,,,,,,6.51,,,,,,,,,,,
08HD011,1,1,1973,26,,,,,,,,,,,15.5,,,,,,1.66,,10.2,,,,11.4,
08HD011,1,1,1973,27,,,,,,,,,,,,,6.51,,1.70,,,,,,,,,
08HD011,1,1,1973,28,,,,,,,,,,,,,,,,,1.66,,,,,,8.16,
08HD011,1,1,1973,29,,,,,,,,,,,,,,,1.70,,,,35.7,,,,,
08HD011,1,1,1973,30,,,,,,,,,,,,,6.20,,,,1.51,,,,,,,
08HD011,1,1,1973,31,,,,,,,,,,,,,,,1.51,,,,15.3,,,,5.66,
08HD011,1,1,1974,01,6.26,B,9.09,,9.17,,25.5,,37.9,,28.6,,32.0,,19.6,,5.10,,2.78,,1.35,,9.03,
08HD011,1,1,1974,02,5.66,B,8.18,,8.24,,21.4,,28.9,,36.8,,25.8,,19.0,,4.98,,5.21,,1.25,,12.3,
08HD011,1,1,1974,03,5.10,B,11.5,,6.48,,19.8,,23.6,,32.6,,24.8,,18.6,,4.87,,4.64,,1.14,,37.9,
08HD011,1,1,1974,04,4.87,B,18.9,,5.95,,17.8,,23.0,,29.4,,26.3,,17.8,,4.70,,3.99,,1.12,,36.0,
08HD011,1,1,1974,05,4.62,B,15.1,,5.44,,28.9,,29.4,,27.0,,24.4,,15.8,,4.47,,3.51,,2.50,,24.7,
08HD011,1,1,1974,06,4.33,B,12.4,,4.76,,31.1,,35.4,,24.6,,23.1,,13.2,,4.25,,3.11,,8.41,,19.6,
08HD011,1,1,1974,07,4.19,B,11.1,,4.67,,21.4,,40.2,,23.0,,22.0,,11.2,,3.94,,2.97,,6.12,,18.2,
08HD011,1,1,1974,08,3.99,B,9.66,,4.84,,17.9,,37.1,,22.7,,21.9,,10.0,,3.82,,2.82,,5.24,,17.8,
08HD011,1,1,1974,09,3.94,B,8.78,,6.37,,17.3,,27.9,,23.2,,25.3,,9.74,,6.23,,2.81,,6.54,,19.0,
08HD011,1,1,1974,10,3.94,B,7.76,,8.75,,17.9,,22.3,,28.6,,29.4,,10.1,,6.63,,2.68,,6.09,,17.5,
08HD011,1,1,1974,11,3.96,B,7.22,,9.68,,19.1,,19.0,,32.0,,27.5,,10.1,,6.03,,2.60,,6.23,,16.6,
08HD011,1,1,1974,12,3.96,B,6.91,,9.09,,18.4,,17.0,,36.8,,22.7,,9.03,,5.24,,2.50,,12.5,,13.7,
08HD011,1,1,1974,13,4.19,B,6.97,,8.33,,16.3,,14.8,,45.9,,19.7,,8.24,,4.81,,2.27,,16.7,,12.2,
08HD011,1,1,1974,14,12.7,B,11.2,,7.48,,15.1,,13.2,,54.7,,19.0,,7.76,,4.36,,2.17,,14.7,,11.0,
08HD011,1,1,1974,15,131,E,12.1,,8.16,,15.9,,12.2,,59.2,,19.3,,7.33,,3.99,,2.10,,13.2,,9.85,
08HD011,1,1,1974,16,101,E,20.5,,20.9,,17.0,,10.9,,53.8,,19.2,,6.99,,3.74,,2.04,,10.8,,91.7,E
08HD011,1,1,1974,17,53.0,,14.2,,25.2,,16.5,,10.4,,50.4,,30.9,,6.91,,3.57,,1.97,,10.6,,68.5,E
08HD011,1,1,1974,18,34.5,,12.3,,19.4,,16.3,,11.5,,50.4,,26.9,,6.51,,3.31,,1.95,,10.9,,35.7,
08HD011,1,1,1974,19,31.7,,10.1,,16.4,,16.0,,14.8,,46.2,,22.6,,6.20,,3.23,,1.82,,9.03,,23.6,
08HD011,1,1,1974,20,22.1,,8.98,,13.7,,15.0,,17.8,,43.6,,19.0,,5.97,,3.03,,1.91,,8.24,,18.7,
08HD011,1,1,1974,21,16.4,,14.0,,12.7,,15.1,,18.8,,42.2,,18.2,,5.58,,2.86,,1.86,,7.36,,21.2,
08HD011,1,1,1974,22,13.3,,10.4,,12.1,,16.8,,21.7,,37.9,,22.4,,5.18,,2.83,,1.69,,6.91,,18.2,
08HD011,1,1,1974,23,14.0,,8.61,,11.7,,18.1,,24.3,,29.2,,23.1,,5.15,,2.67,,1.49,,6.43,,14.4,
08HD011,1,1,1974,24,20.6,,8.64,,11.1,,20.4,,23.7,,24.2,,20.2,,5.04,,2.66,,1.43,,111,E,12.3,
08HD011,1,1,1974,25,24.1,,9.20,,11.0,,25.9,,40.5,,23.2,,19.1,,5.24,,2.76,,1.40,,88.9,E,12.2,
08HD011,1,1,1974,26,19.2,,7.76,,27.5,,26.3,,46.2,,24.6,,18.5,,5.30,,2.70,,1.31,,36.5,,11.6,
08HD011,1,1,1974,27,15.9,,6.48,,68.0,,24.9,,34.8,,26.8,,17.8,,5.30,,2.53,,1.48,,22.7,,9.74,
08HD011,1,1,1974,28,13.5,,7.73,,58.6,,29.4,,28.1,,26.8,,18.7,,5.15,,2.51,,1.89,,16.5,,8.44,
08HD011,1,1,1974,29,11.7,,,,43.6,,32.8,,25.5,,23.1,,20.7,,5.13,,2.22,,1.82,,12.6,,7.87,
08HD011,1,1,1974,30,9.97,,,,34.5,,39.6,,25.8,,32.6,,20.5,,5.10,,2.05,,1.60,,10.4,,7.45,
08HD011,1,1,1974,31,9.63,,,,26.5,,,,26.0,,,,19.8,,5.13,,,,1.46,,,,6.71,
08HD011,1,1,1975,01,6.51,,5.38,,8.21,,5.72,,17.8,,44.2,,13.0,,3.88,,11.1,,1.49,,75.0,,10.9,
08HD011,1,1,1975,02,6.06,,4.81,,14.5,,5.75,,21.5,,44.5,,14.6,,3.79,,7.70,,1.47,,58.3,,17.2,
