﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08MH103,1,1,1963,01,,,,,,,,,,,,,,,,,16.1,,14.7,,35.7,,47.6,
08MH103,1,1,1963,02,,,,,,,,,,,,,,,,,16.4,,14.3,,38.5,,43.3,
08MH103,1,1,1963,03,,,,,,,,,,,,,,,,,15.9,,13.8,,34.8,,40.2,
08MH103,1,1,1963,04,,,,,,,,,,,,,,,,,15.3,,14.5,,34.0,,40.2,
08MH103,1,1,1963,05,,,,,,,,,,,,,,,,,15.1,,13.6,,32.8,,44.2,
08MH103,1,1,1963,06,,,,,,,,,,,,,,,,,14.7,,13.4,,31.1,,41.1,
08MH103,1,1,1963,07,,,,,,,,,,,,,,,,,14.5,,12.9,,30.9,,37.4,
08MH103,1,1,1963,08,,,,,,,,,,,,,,,,,14.2,,13.3,,30.9,,35.1,
08MH103,1,1,1963,09,,,,,,,,,,,,,,,,,14.2,,12.8,,29.4,,32.8,
08MH103,1,1,1963,10,,,,,,,,,,,,,,,,,14.2,,12.5,,29.4,,30.6,
08MH103,1,1,1963,11,,,,,,,,,,,,,,,,,14.0,,12.1,,27.9,,29.4,
08MH103,1,1,1963,12,,,,,,,,,,,,,,,,,14.0,,12.1,,33.1,,28.0,
08MH103,1,1,1963,13,,,,,,,,,,,,,,,,,19.7,,19.1,,43.6,,26.8,
08MH103,1,1,1963,14,,,,,,,,,,,,,,,,,28.0,,21.5,,56.1,,25.3,
08MH103,1,1,1963,15,,,,,,,,,,,,,,,,,22.5,,20.1,,52.1,,25.8,
08MH103,1,1,1963,16,,,,,,,,,,,,,,,,,20.7,,19.0,,48.1,,24.4,
08MH103,1,1,1963,17,,,,,,,,,,,,,,,,,19.8,,18.3,,47.6,,23.8,
08MH103,1,1,1963,18,,,,,,,,,,,,,,,,,18.3,,18.3,,44.7,,23.2,
08MH103,1,1,1963,19,,,,,,,,,,,,,,,,,17.3,,17.2,,42.2,,24.4,
08MH103,1,1,1963,20,,,,,,,,,,,,,,,,,16.3,,16.8,,38.2,,26.1,
08MH103,1,1,1963,21,,,,,,,,,,,,,,,,,15.6,,44.7,,35.1,,25.1,
08MH103,1,1,1963,22,,,,,,,,,,,,,,,,,15.7,,92.0,,33.4,,25.5,
08MH103,1,1,1963,23,,,,,,,,,,,,,,,,,17.2,,69.9,,33.1,,71.9,
08MH103,1,1,1963,24,,,,,,,,,,,,,,,,,16.1,,69.7,,32.6,,68.5,
08MH103,1,1,1963,25,,,,,,,,,,,,,,,,,15.3,,66.8,,41.6,,57.8,
08MH103,1,1,1963,26,,,,,,,,,,,,,,,,,14.7,,58.3,,121,,49.8,
08MH103,1,1,1963,27,,,,,,,,,,,,,,,,,14.2,,51.0,,88.3,,44.7,
08MH103,1,1,1963,28,,,,,,,,,,,,,,,,,14.2,,48.7,,70.2,,41.1,
08MH103,1,1,1963,29,,,,,,,,,,,,,,,,,14.2,,45.3,,60.9,,37.4,
08MH103,1,1,1963,30,,,,,,,,,,,,,,,16.4,A,13.6,,41.1,,53.2,,36.2,
08MH103,1,1,1963,31,,,,,,,,,,,,,,,16.2,,,,37.1,,,,48.7,
