﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08NE074,1,1,1949,01,,,,,5.15,,13.3,,99.4,,105,,23.4,,8.92,,4.05,,4.25,,7.02,,24.9,
08NE074,1,1,1949,02,,,,,5.04,,14.7,,90.9,,102,,22.1,,8.92,,3.85,,3.96,,6.65,,23.9,
08NE074,1,1,1949,03,,,,,4.81,,15.5,,89.5,,96.0,,21.0,,8.64,,3.74,,3.96,,6.40,,21.6,
08NE074,1,1,1949,04,,,,,4.81,,18.6,,79.9,,99.4,,19.8,,8.21,,3.74,,5.15,,6.29,,20.3,
08NE074,1,1,1949,05,,,,,5.64,,25.1,,72.8,,109,,19.2,,7.67,,3.57,,9.91,,6.40,,19.4,
08NE074,1,1,1949,06,,,,,6.80,,33.1,,72.8,,113,,18.6,,7.31,,3.45,,7.93,,6.65,,18.2,
08NE074,1,1,1949,07,,,,,7.53,,36.8,,84.7,,107,,18.0,,7.02,,3.34,,6.51,,6.51,,17.0,
08NE074,1,1,1949,08,,,,,8.21,,44.7,,120,,87.5,,17.2,,6.91,,3.26,,6.00,,6.51,,15.3,
08NE074,1,1,1949,09,,,,,8.07,,45.0,,172,,76.7,,16.5,,6.80,,3.26,,6.00,,6.51,,16.5,
08NE074,1,1,1949,10,,,,,7.82,,47.3,,238,,71.9,,15.3,,6.40,,3.74,,6.00,,6.40,,14.2,
08NE074,1,1,1949,11,,,,,8.07,,61.2,,289,,65.4,,15.5,,6.14,,5.27,,6.00,,6.51,,13.8,
08NE074,1,1,1949,12,,,,,8.21,,71.9,,300,,56.4,,15.5,,6.65,,4.59,,6.00,,9.06,,13.5,
08NE074,1,1,1949,13,,,,,8.21,,67.7,,303,,49.3,,14.3,,7.42,,4.05,,5.78,,12.8,,12.5,
08NE074,1,1,1949,14,,,,,8.07,,63.7,,294,,46.4,,13.6,,6.65,,3.96,,5.64,,11.9,,13.3,
08NE074,1,1,1949,15,,,,,8.07,,64.0,,265,,43.3,,13.0,,6.29,,4.59,,5.38,,12.1,,13.8,
08NE074,1,1,1949,16,,,,,7.93,,69.9,,238,,45.3,,12.5,,5.89,,7.02,,5.27,,10.9,,13.1,
08NE074,1,1,1949,17,,,,,7.53,,81.3,,226,,40.8,,11.9,,5.64,,6.80,,5.04,,10.3,,12.8,
08NE074,1,1,1949,18,,,,,7.93,,102,,187,,35.1,,11.1,,5.38,,5.78,,4.93,,9.63,,12.3,
08NE074,1,1,1949,19,,,,,8.92,,109,,162,,31.7,,11.3,,5.15,,5.38,,4.59,,9.34,,11.6,
08NE074,1,1,1949,20,,,,,10.8,,105,,160,,30.0,,12.3,,5.15,,5.04,,4.59,,8.64,,10.3,
08NE074,1,1,1949,21,,,,,12.1,,85.5,,150,,30.0,,11.3,,5.27,,4.81,,4.59,,8.21,,9.34,
08NE074,1,1,1949,22,,,,,12.1,,71.4,,157,,29.4,,10.6,,5.15,,4.47,,4.47,,8.50,,9.29,B
08NE074,1,1,1949,23,,,,,12.6,,67.4,,150,,30.0,,10.2,,5.15,,4.36,,4.59,,9.20,,9.23,B
08NE074,1,1,1949,24,,,,,13.0,,69.7,,140,,28.9,,10.3,,5.27,,4.13,,4.47,,8.92,,9.17,B
08NE074,1,1,1949,25,,,,,13.6,,68.2,,139,,28.9,,11.6,,5.38,,3.96,,4.59,,11.4,,9.12,B
08NE074,1,1,1949,26,,,,,13.5,,68.2,,141,,26.1,,10.6,,5.64,,3.85,,4.70,,15.3,,9.06,B
08NE074,1,1,1949,27,,,,,13.1,,80.7,,151,,24.4,,13.6,,5.15,,3.74,,4.81,,45.9,,9.00,B
08NE074,1,1,1949,28,,,,,12.6,,121,,138,,22.8,,13.0,,4.81,,3.65,,8.35,,41.6,,8.95,B
08NE074,1,1,1949,29,,,,,12.3,,146,,125,,23.9,,10.9,,4.47,,3.45,,10.8,,31.4,,8.89,B
08NE074,1,1,1949,30,,,,,11.9,,121,,119,,23.9,,10.1,,4.36,,3.74,,8.78,,27.7,,8.83,B
08NE074,1,1,1949,31,,,,,12.3,,,,108,,,,9.34,,4.13,,,,7.67,,,,8.78,B
08NE074,1,1,1950,01,8.69,B,6.88,B,7.82,,13.1,,54.9,,123,,99.1,,15.3,,7.31,,4.25,,34.8,,21.4,
08NE074,1,1,1950,02,8.64,B,6.82,B,8.07,,14.8,,55.2,,121,,87.8,,14.5,,7.02,,4.81,,30.9,,20.3,
08NE074,1,1,1950,03,8.58,B,6.77,B,8.07,,14.5,,57.2,,136,,77.9,,13.6,,6.80,,4.59,,28.3,,20.0,
08NE074,1,1,1950,04,8.52,B,6.71,B,11.3,,14.7,,57.2,,160,,71.9,,13.0,,6.51,,5.49,,28.2,,18.0,
08NE074,1,1,1950,05,8.47,B,6.65,B,13.1,,15.5,,58.3,,164,,65.1,,12.6,,6.29,,7.82,,32.8,,16.3,
